game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,starter_rate_basis,starter_rate_bf,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,sp_bf_per_ip,bp_bf_per_ip,opener,opener_reason,opener_confidence,pitching_basis,model_tag,model_metric,snapshot_utc,scheduled_start_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822701,2026-08-08,2026-08-08T22:45:00Z,Cincinnati Reds @ Washington Nationals,away,Chase Burns,Washington Nationals,9,measured,477.0,0.3096648737438259,0.3099668657756984,0.0003019920318724778,0.29604264807033487,0.3099668657756984,0.3163338270549253,0.2899676338140707,-0.026366193240854596,0.29327562647206157,0.2873727656390201,-0.02896106141590521,0.207,0.24482337317397082,0.24378504023576478,0.2078816575373156,-0.03590338269844917,0.343,0.38448791500664015,0.3969490219731558,0.33223247204825235,-0.06471654992490344,36.9,37.10355909694555,39.28629401704181,34.849846872382166,-4.436447144659645,89.1,88.21774236387783,88.91571263867574,88.40202972520207,-0.5136829134736729,19.3,12.52539176626826,13.979662673416252,17.84572909285201,3.866066419435759,28.7,20.6801593625498,22.146082548214203,26.800251124009247,4.654168575795044,9.0,7.738247011952191,8.90165753027226,7.8237365199377225,-1.0779210103345376,0.300082120070998,5.494047619047619,0.593473268129475,0.406526731870525,0.29375578542989833,-0.022578041625026968,9.0,1136.9375,4.019662921348314,4.314832973604918,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T18:13:56.931247+00:00,2026-08-08T22:45:00Z,projected,projected,0,0,0,0
822701,2026-08-08,2026-08-08T22:45:00Z,Cincinnati Reds @ Washington Nationals,home,Andrew Alvarez,Cincinnati Reds,9,measured,276.0,0.31889630493596505,0.32522007651631035,0.006323771580345305,0.30603163544174594,0.32522007651631035,0.3163338270549253,0.3118543762243935,-0.004479450830531806,0.30921919424737837,0.31790558395129576,0.0015717568963704576,0.262,0.22981248339973442,0.24378504023576478,0.2469834514558417,0.0031984112200769133,0.378,0.3970937583001328,0.3969490219731558,0.37813782709760907,-0.018811194875546722,43.6,38.59011952191236,39.28629401704181,42.827384288920776,3.5410902718789643,90.1,89.64106241699868,88.91571263867574,90.82534977832292,1.9096371396471739,8.2,16.777131474103587,13.979662673416252,10.997468800687335,-2.9821938727289172,22.8,26.022735723771582,22.146082548214203,26.791120877034555,4.645038328820352,11.2,10.456945551128817,8.90165753027226,13.156851942950523,4.255194412678263,0.30227584312339595,4.833333333333334,0.540919255167358,0.45908074483264205,0.3047244436072192,-0.011609383447706123,8.0,642.0357142857142,4.3125,4.245645545220516,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T18:13:56.931247+00:00,2026-08-08T22:45:00Z,projected,projected,0,0,0,0
822864,2026-08-08,2026-08-08T23:15:00Z,Baltimore Orioles @ Texas Rangers,away,Kyle Bradish,Texas Rangers,9,measured,513.0,0.3220973712226248,0.32330799539261146,0.0012106241699866849,0.30111143186364847,0.32330799539261146,0.3163338270549253,0.3073167497025067,-0.009017077352418579,0.30325492033490026,0.3099407398166087,-0.006393087238316608,0.234,0.24527171314741036,0.24378504023576478,0.23542700085693788,-0.008358039378826898,0.377,0.39439468791500665,0.3969490219731558,0.37457403624491775,-0.02237498572823804,37.9,40.21211155378486,39.28629401704181,38.79314824725744,-0.49314576978436975,88.1,89.31163346613545,88.91571263867574,88.4959208274597,-0.4197918112160437,9.8,11.994528552456838,13.979662673416252,7.814865879040587,-6.164796794375665,22.8,22.164515272244362,22.146082548214203,22.81897699545609,0.6728944472418874,10.5,8.828818061088977,8.90165753027226,10.414081796134761,1.5124242658625011,0.29761966658051525,5.5625,0.6196287576963427,0.38037124230365726,0.3030422421851627,-0.013291584869762618,8.0,919.0,4.239669421487603,4.211486581138687,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T18:13:56.931247+00:00,2026-08-08T23:15:00Z,projected,projected,0,0,0,0
822864,2026-08-08,2026-08-08T23:15:00Z,Baltimore Orioles @ Texas Rangers,home,Jacob deGrom,Baltimore Orioles,9,measured,468.0,0.31433289242626,0.31382983797738884,-0.0005030544488711652,0.2902222183349069,0.31382983797738884,0.3163338270549253,0.2881294043626096,-0.02820442269231571,0.28398601215103203,0.2817380771792345,-0.03459574987569081,0.234,0.2309827357237716,0.24378504023576478,0.22171155419172064,-0.022073486044044133,0.398,0.3979088977423639,0.3969490219731558,0.39896241717449216,0.0020133952013363654,45.1,41.690411686586984,39.28629401704181,47.85988635755396,8.57359234051215,90.6,89.64108897742365,88.91571263867574,91.32537633874792,2.409663700072173,16.6,15.368233731739709,13.979662673416252,17.98857105832346,4.0089083849072065,28.8,25.946772908366533,22.146082548214203,33.74262956593258,11.596547017718379,6.2,9.732138114209828,8.90165753027226,6.778429309699072,-2.1232282205731883,0.2984609473060159,5.154761904761905,0.5691720814564298,0.43082791854357017,0.2965730656010183,-0.019760761453906983,8.0,1098.9082730548857,4.117302052785924,4.17790299688348,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T18:13:56.931247+00:00,2026-08-08T23:15:00Z,projected,projected,0,0,0,0
823021,2026-08-08,2026-08-08T23:15:00Z,Colorado Rockies @ St. Louis Cardinals,away,Kyle Freeland,St. Louis Cardinals,9,measured,486.0,0.31477395713898787,0.31909480707258675,0.00432084993359888,0.34358389080402174,0.31909480707258675,0.3163338270549253,0.34515295351258957,0.028819126457664268,0.36017294480895584,0.36331655519289097,0.04698272813796567,0.284,0.25610836653386454,0.24378504023576478,0.2983561912793158,0.05457115104355101,0.484,0.4037540504648075,0.3969490219731558,0.4922973722257518,0.09534835025259603,43.0,40.723665338645425,39.28629401704181,44.573245030497006,5.2869510134551945,90.3,89.02586985391765,88.91571263867574,90.41015721524191,1.494444576566167,14.6,12.118512616201862,13.979662673416252,12.738849942785611,-1.2408127306306405,19.1,18.538273572377157,22.146082548214203,15.988427048510024,-6.157655499704179,4.7,7.708100929614875,8.90165753027226,4.069812194637628,-4.8318453356346325,0.31090048925573294,5.947916666666666,0.6633199255309081,0.3366800744690919,0.3093674116062281,-0.006966415448697194,7.0,870.3480734380285,4.486153846153847,4.437486268299596,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T18:13:56.931247+00:00,2026-08-08T23:15:00Z,projected,projected,0,0,0,0
823021,2026-08-08,2026-08-08T23:15:00Z,Colorado Rockies @ St. Louis Cardinals,home,Matthew Liberatore,Colorado Rockies,9,measured,476.0,0.3258687949324036,0.3254201893547144,-0.0004486055776892206,0.32431413902499084,0.3254201893547144,0.3163338270549253,0.3338147868187562,0.017480959763830906,0.3381250018506444,0.3478372931286125,0.0315034660736872,0.265,0.24626002656042498,0.24378504023576478,0.26769036760992665,0.023905327374161872,0.442,0.3938515272244356,0.3969490219731558,0.4385509609467512,0.04160193897359543,42.3,36.71309428950863,39.28629401704181,39.529406560276776,0.24311254323496456,90.4,87.79800796812751,88.91571263867574,89.28229532945177,0.3665826907760277,15.8,15.810650730411686,13.979662673416252,17.630988056995434,3.6513253835791826,22.5,21.660132802124835,22.146082548214203,22.006284271125303,-0.13979827708890014,8.6,7.445444887118195,8.90165753027226,7.193135189874921,-1.708522340397339,0.30576444659687685,5.1022727272727275,0.5732192257719162,0.4267807742280838,0.31498083108385727,-0.0013529959710680273,8.0,1167.0,4.380368098159509,4.269204190749518,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T18:13:56.931247+00:00,2026-08-08T23:15:00Z,projected,projected,0,0,0,0
823102,2026-08-08,2026-08-09T01:50:00Z,Tampa Bay Rays @ Seattle Mariners,away,Griffin Jax,Seattle Mariners,9,measured,379.0,0.3213325395371658,0.3214698569342442,0.00013731739707839585,0.2928949886215089,0.3214698569342442,0.3163338270549253,0.2975965600713793,-0.018737266983545997,0.2954731637626662,0.30027049767965647,-0.01606332937526883,0.252,0.2410565737051793,0.24378504023576478,0.2491795908188518,0.005394550583087021,0.418,0.38988021248339977,0.3969490219731558,0.4105563178061745,0.013607295833018729,39.7,36.46297476759628,39.28629401704181,36.84694966762794,-2.4393443494138722,88.8,88.88706507304117,88.91571263867574,88.77135243436543,-0.14436020431031693,10.2,14.620053120849933,13.979662673416252,10.840390447433682,-3.1392722259825696,26.4,22.428818061088975,22.146082548214203,26.737044600264795,4.5909620520505925,7.9,9.935245683930942,8.90165753027226,8.817283818899497,-0.08437371137276273,0.2894631810267765,5.055555555555556,0.5710178790096638,0.42898212099033617,0.29403728310627475,-0.02229654394865055,8.0,1075.2234234234234,4.134545454545455,3.981074456030039,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T18:13:56.931247+00:00,2026-08-09T01:50:00Z,projected,projected,0,0,0,0
823102,2026-08-08,2026-08-09T01:50:00Z,Tampa Bay Rays @ Seattle Mariners,home,George Kirby,Tampa Bay Rays,9,measured,523.0,0.32427111717256435,0.3250158714886335,0.0007447543160691295,0.30482052100616286,0.3250158714886335,0.3163338270549253,0.3129633200745172,-0.0033705069804080834,0.31243640974005304,0.3210114863207831,0.004677659265857781,0.257,0.24522629482071714,0.24378504023576478,0.2585193812876071,0.01473434105184232,0.401,0.3691630810092962,0.3969490219731558,0.3729304955807116,-0.024018526392444173,41.9,34.142045152722446,39.28629401704181,36.413505719794244,-2.872788297247567,89.8,87.82146082337317,88.91571263867574,88.70574818469744,-0.20996445397830144,12.0,12.238034528552456,13.979662673416252,10.258371855136202,-3.7212908182800497,21.0,16.899867197875167,22.146082548214203,16.025281689559872,-6.120800858654331,5.0,9.019229747675963,8.90165753027226,5.066039508374631,-3.835618021897629,0.28920892773800033,6.142857142857142,0.6721173335440708,0.32788266645592923,0.29646561345333877,-0.019868213601586526,8.0,942.0,4.118110236220472,4.319264405021046,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T18:13:56.931247+00:00,2026-08-09T01:50:00Z,projected,projected,0,0,0,0
823188,2026-08-08,2026-08-08T23:15:00Z,Detroit Tigers @ San Francisco Giants,away,Jackson Jobe,San Francisco Giants,9,prior_only,0.0,0.31635645539817303,0.31771900519896984,0.0013625498007968084,,0.31771900519896984,0.3163338270549253,,,0.3206916843178322,,,,0.2344077025232404,0.24378504023576478,,,,0.36122045152722443,0.3969490219731558,,,,33.41065073041169,39.28629401704181,,,,87.21442231075697,88.91571263867574,,,,14.695644090305446,13.979662673416252,,,,22.02820717131474,22.146082548214203,,,,9.362868525896413,8.90165753027226,,,0.29933466125376446,5.2,0.5777777777777778,0.42222222222222217,0.29935607359377203,-0.016977753461153267,9.0,1235.0752494456763,,4.208171945530871,False,,,starter_unmeasured_no_lean,woba+plat_consol_v5,wOBA,2026-08-08T18:13:56.931247+00:00,2026-08-08T23:15:00Z,projected,projected,0,0,0,0
823188,2026-08-08,2026-08-08T23:15:00Z,Detroit Tigers @ San Francisco Giants,home,Landen Roupp,Detroit Tigers,9,measured,499.0,0.32597220476624345,0.32614564434127663,0.0001734395750331852,0.30477192726331737,0.32614564434127663,0.3163338270549253,0.3141644518135092,-0.0021693752414160827,0.3083990984836227,0.3179648020119759,0.0016309749570506127,0.231,0.24413359893758302,0.24378504023576478,0.23133027892130767,-0.012454761314457108,0.334,0.4083237715803454,0.3969490219731558,0.3435709175700104,-0.05337810440314539,29.7,38.786879150066405,39.28629401704181,29.322447932025977,-9.963846085015835,86.5,88.26045152722445,88.91571263867574,85.84473888854872,-3.070973750127024,9.0,15.966958831341303,13.979662673416252,10.98729615792505,-2.9923665154912023,24.0,23.63760956175299,22.146082548214203,25.616387378986694,3.4703048307724913,10.4,9.490889774236388,8.90165753027226,11.088412839562421,2.1867553092901613,0.2986115299544077,5.683712121212121,0.6294103883432821,0.3705896116567179,0.3077099268645663,-0.008623900190359024,8.0,735.9619047619047,4.2169014084507035,4.25532398266022,False,,,starter_bullpen_sequential,woba+plat_consol_v5,wOBA,2026-08-08T18:13:56.931247+00:00,2026-08-08T23:15:00Z,projected,projected,0,0,0,0
