game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,starter_rate_basis,starter_rate_bf,starter_rate_primary,starter_rate_blend_in,starter_rate_blended,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,opp_xwOBA_sd,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,expected_sp_ip_raw,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,sp_bf_per_ip,bp_bf_per_ip,opener,opener_reason,opener_confidence,pitching_basis,model_tag,model_metric,snapshot_utc,scheduled_start_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home,selection_rule_tag,hybrid_action,hybrid_selection,pregame_market_utc,hybrid_price_source,pregame_away_ml,pregame_home_ml,pregame_p_home,hybrid_p,hybrid_ml
822847,2026-09-18,2026-09-19T00:05:00Z,Toronto Blue Jays @ Texas Rangers,away,Dylan Cease,Texas Rangers,9,measured,668.0,0.2671062386293633,0.2577998105553572,True,0.3182204717185749,0.3182098475485882,-1.0624169986706011e-05,0.02358632882093575,0.2694269851686084,0.3182098475485882,0.3145759126735102,0.2725429889203083,-0.04203292375320189,0.2614497083965435,0.2644699371398906,-0.05010597553361962,0.19,0.2443819389110226,0.24287262583984384,0.19118074024411902,-0.051691885595724824,0.286,0.40230756972111553,0.39453708554748895,0.29163282529086787,-0.10290426025662108,31.9,42.08581673306773,39.01378629373528,34.411875424673696,-4.601910869061584,85.6,89.71035856573705,88.83925622689743,86.4711023388396,-2.368153888057833,13.3,13.124435590969455,14.025605416796214,12.398830174173241,-1.6267752426229727,35.3,22.432403718459494,22.082135722222546,35.85993045340814,13.777794731185594,10.8,8.973837981407703,8.911696498995354,10.875308669918127,1.9636121709227723,0.28245580187168656,5.640256804895492,5.811011904761905,0.6202398708020319,0.3797601291979681,0.285728229308338,-0.028847683365172183,10.0,1722.9876000280392,4.0160320641282565,4.127999658818781,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-18T17:39:43.791823+00:00,2026-09-19T00:05:00Z,projected,projected,0,0,0,0,lean,FOLLOW,TOR,2026-09-18T17:39:43.791823+00:00,saved_pregame,-137.0,114.0,0.44701799388886787,0.5529820061111321,-137.0
822847,2026-09-18,2026-09-19T00:05:00Z,Toronto Blue Jays @ Texas Rangers,home,Kumar Rocker,Toronto Blue Jays,9,measured,609.0,0.3269655730145995,0.33240233357759436,True,0.3036072268906106,0.30061971029034495,-0.0029875166002656384,0.0206974112772996,0.3116457908182586,0.30061971029034495,0.3145759126735102,0.2991058282830495,-0.015470084390460714,0.32868063710028017,0.3140986767339756,-0.00047723593953458154,0.255,0.2481128818061089,0.24287262583984384,0.2605019179982793,0.017629292158435478,0.419,0.37056175298804783,0.39453708554748895,0.393538098672104,-0.0009989868753849662,39.9,33.74443559096946,39.01378629373528,34.51095389569719,-4.5028323980380875,89.2,87.60164674634794,88.83925622689743,87.96239051945052,-0.8768657074469104,13.0,13.444116865869855,14.025605416796214,12.418511449073641,-1.607093967722573,21.7,17.196626826029217,22.082135722222546,16.899035800658282,-5.1830999215642635,9.4,7.6667994687915,8.911696498995354,8.086890640268614,-0.8248058587267408,0.29195904887804847,4.721435290701321,4.648333333333333,0.5361081285773887,0.46389187142261135,0.2817789717023963,-0.03279694097111391,8.0,1122.7895256916995,4.391826923076923,4.193585716848945,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-18T17:39:43.791823+00:00,2026-09-19T00:05:00Z,projected,projected,0,0,0,0,lean,FOLLOW,TOR,2026-09-18T17:39:43.791823+00:00,saved_pregame,-137.0,114.0,0.44701799388886787,0.5529820061111321,-137.0
822923,2026-09-18,2026-09-18T23:10:00Z,Boston Red Sox @ Tampa Bay Rays,away,Ranger Suarez,Tampa Bay Rays,9,measured,569.0,0.2996271917299716,0.29227242826085853,True,0.3075818289530208,0.3038657598959159,-0.003716069057104865,0.03444828910843872,0.2900587970724479,0.3038657598959159,0.3145759126735102,0.2814484022358518,-0.03312751043765838,0.29494649379959836,0.28490465053524133,-0.029671262138268872,0.247,0.2452993359893758,0.24287262583984384,0.24946794962940638,0.0065953237895625405,0.357,0.3680804780876494,0.39453708554748895,0.3330605296456324,-0.06147655590185658,33.4,33.494847277556445,39.01378629373528,28.675194215897662,-10.338592077837617,86.9,87.74005312084994,88.83925622689743,85.8007968939525,-3.0384593329449388,13.4,13.04714475431607,14.025605416796214,12.421539337519857,-1.6040660792763575,22.8,17.127569721115538,22.082135722222546,17.68436688161656,-4.397768840605988,7.0,8.836069057104915,8.911696498995354,6.940595812111335,-1.9711006868840197,0.2820723400540054,5.547715739379084,5.693910256410256,0.6203481157879134,0.3796518842120866,0.2758009203995081,-0.03877499227400211,8.0,1184.1447368421052,4.13317191283293,4.064819014080229,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-18T17:39:43.791823+00:00,2026-09-18T23:10:00Z,projected,projected,0,0,0,0,lean,FOLLOW,BOS,2026-09-18T17:39:43.791823+00:00,saved_pregame,113.0,-136.0,0.551057677674631,0.448942322325369,113.0
822923,2026-09-18,2026-09-18T23:10:00Z,Boston Red Sox @ Tampa Bay Rays,home,Ian Seymour,Boston Red Sox,9,measured,509.0,0.29319965725344993,0.3110808776790055,True,0.3135556272680635,0.31784752633844865,0.00429189907038513,0.028315909541412877,0.3017281399554717,0.31784752633844865,0.3145759126735102,0.3030930823509418,-0.011482830322568416,0.30113695127041096,0.3042687987040595,-0.01030711396945072,0.218,0.24011367861885788,0.24287262583984384,0.21552359702088636,-0.027349028818957483,0.393,0.3874130146082338,0.39453708554748895,0.38590368388248697,-0.008633401665001983,37.4,36.557795484727755,39.01378629373528,35.045600056213175,-3.9681862375221044,88.2,87.74265604249668,88.83925622689743,87.10339981559925,-1.7358564112981867,20.3,15.715511288180613,14.025605416796214,21.989905871384398,7.964300454588184,29.5,21.920053120849936,22.082135722222546,29.28347036714931,7.201334644926764,6.7,8.60316069057105,8.911696498995354,6.468036319832494,-2.44366017916286,0.3025131227092165,5.067551540199131,5.086309523809524,0.5704105837468482,0.42958941625315183,0.30153196136907073,-0.013043951304439472,9.0,1308.231719367589,4.160762942779292,4.038072443898211,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-18T17:39:43.791823+00:00,2026-09-18T23:10:00Z,projected,projected,0,0,0,0,lean,FOLLOW,BOS,2026-09-18T17:39:43.791823+00:00,saved_pregame,113.0,-136.0,0.551057677674631,0.448942322325369,113.0
823005,2026-09-18,2026-09-19T00:15:00Z,Washington Nationals @ St. Louis Cardinals,away,Cade Cavalli,St. Louis Cardinals,9,measured,687.0,0.3001062150792262,0.2977423818380106,True,0.31766193395513986,0.3165527706085264,-0.0011091633466134843,0.028470152952491043,0.30142663999072405,0.3165527706085264,0.3145759126735102,0.3037692449343471,-0.010806667739163112,0.2979209822628016,0.2997931772849465,-0.014782735388563728,0.232,0.24721195219123507,0.24287262583984384,0.23614506867557244,-0.006727557164271397,0.363,0.39362788844621516,0.39453708554748895,0.3621634790242737,-0.03237360652321525,40.3,40.4661620185923,39.01378629373528,41.800257915780314,2.7864716220450347,89.1,88.96544488711821,88.83925622689743,89.22618866022076,0.3869324333233237,8.2,13.53702523240372,14.025605416796214,7.711419815607503,-6.314185601188711,28.2,20.705046480743693,22.082135722222546,26.44138764935573,4.359251927133183,7.0,8.585710491367863,8.911696498995354,6.743943024355723,-2.167753474639632,0.30636667282918023,5.388102609066075,5.491935483870968,0.5849175741912552,0.41508242580874477,0.3093721606438629,-0.0052037520296472906,9.0,756.4433481823681,4.172064777327935,4.416631569357402,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-18T17:39:43.791823+00:00,2026-09-19T00:15:00Z,projected,projected,0,0,0,0,lean,FOLLOW,WSH,2026-09-18T17:39:43.791823+00:00,saved_pregame,-111.0,-108.0,0.49673031650536237,0.5032696834946376,-111.0
823005,2026-09-18,2026-09-19T00:15:00Z,Washington Nationals @ St. Louis Cardinals,home,Kyle Leahy,Washington Nationals,9,measured,570.0,0.33110088248858366,0.3211914246365886,True,0.32037180083811195,0.3207763161103564,0.0004045152722444434,0.032844603124526604,0.32112668759998375,0.3207763161103564,0.3145759126735102,0.32723719367086906,0.01266128099735886,0.3251428373667694,0.33155151865816634,0.01697560598465614,0.269,0.24907144754316068,0.24287262583984384,0.27586566891771414,0.03299304307787029,0.443,0.406275166002656,0.39453708554748895,0.4561799261263948,0.061642840578905844,47.0,37.877131474103585,39.01378629373528,45.630669268538334,6.616882974803055,91.1,88.63059760956176,88.83925622689743,90.89134138266432,2.052085155766889,10.0,13.159070385126162,14.025605416796214,9.13346496832995,-4.8921404484662645,22.5,20.673439575033203,22.082135722222546,21.06464683894398,-1.017488883278567,6.7,8.845285524568393,8.911696498995354,6.650070839069665,-2.2616256599256896,0.3176525766357032,4.222017484107376,4.0163690476190474,0.4638170938257829,0.5361829061742172,0.3235051506415487,0.008929237968038517,9.0,1682.0135593220339,4.222222222222222,4.3130329138481756,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-18T17:39:43.791823+00:00,2026-09-19T00:15:00Z,projected,projected,0,0,0,0,lean,FOLLOW,WSH,2026-09-18T17:39:43.791823+00:00,saved_pregame,-111.0,-108.0,0.49673031650536237,0.5032696834946376,-111.0
823252,2026-09-18,2026-09-19T01:40:00Z,Miami Marlins @ San Diego Padres,away,Tyler Phillips,San Diego Padres,9,measured,507.0,0.32912947490502636,0.31693122653462,True,0.32263695665003456,0.31911159144419127,-0.0035253652058432894,0.026401983885851483,0.3105485418515572,0.31911159144419127,0.3145759126735102,0.3166113907108359,0.0020354780373256776,0.3220270345240065,0.32667014648913606,0.012094233815625854,0.256,0.24972270916334663,0.24287262583984384,0.26322033339390455,0.020347707554060707,0.419,0.3994058432934927,0.39453708554748895,0.4241706406578857,0.029633555110396725,42.7,40.19354581673308,39.01378629373528,43.99122898384501,4.977442690109733,89.7,89.41673306772908,88.83925622689743,90.27747684083165,1.4382206139342202,10.6,11.926905710491368,14.025605416796214,8.501300293695156,-5.524305123101058,18.9,21.489774236387785,22.082135722222546,18.393000485862867,-3.6891352363596788,10.1,9.499043824701197,8.911696498995354,10.765665397188714,1.8539688981933597,0.2978570260548341,4.741411375772454,4.673611111111111,0.5250935601826742,0.47490643981732583,0.30548964663706146,-0.009086266036448742,9.0,1274.1162790697674,4.260504201680672,4.290168129466232,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-18T17:39:43.791823+00:00,2026-09-19T01:40:00Z,projected,projected,0,0,0,0,lean,FOLLOW,SD,2026-09-18T17:39:43.791823+00:00,saved_pregame,179.0,-219.0,0.6569929355598327,0.6569929355598327,-219.0
823252,2026-09-18,2026-09-19T01:40:00Z,Miami Marlins @ San Diego Padres,home,Nick Pivetta,Miami Marlins,9,measured,100.0,0.2887879563367551,0.2787912725325718,True,0.31654672930986244,0.31609042120893277,-0.0004563081009296699,0.019172861505629527,0.2759719018913198,0.31609042120893277,0.3145759126735102,0.2775012538161291,-0.03707465885738109,0.2827862982388467,0.28414775741333786,-0.03042815526017234,0.204,0.24186772908366536,0.24287262583984384,0.20315594053651975,-0.03971668530332409,0.349,0.3932496679946879,0.39453708554748895,0.3478611749252822,-0.04667591062220677,36.5,39.46143426294822,39.01378629373528,36.918804541380695,-2.0949817523545846,88.6,88.60124833997344,88.83925622689743,88.361992113076,-0.47726411382143397,20.8,13.951633466135458,14.025605416796214,20.726028049339245,6.700422632543031,31.0,22.133306772908366,22.082135722222546,31.071836465060038,8.989700742837492,6.0,9.156759628154052,8.911696498995354,6.1649942606458765,-2.746702238349478,0.2695126221625274,4.456038731899113,4.3125,0.486623275395121,0.513376724604879,0.2712011174924801,-0.0433747951810301,7.0,1741.5190615835777,4.0,4.138258585618717,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-18T17:39:43.791823+00:00,2026-09-19T01:40:00Z,projected,projected,0,0,0,0,lean,FOLLOW,SD,2026-09-18T17:39:43.791823+00:00,saved_pregame,179.0,-219.0,0.6569929355598327,0.6569929355598327,-219.0
823331,2026-09-18,2026-09-18T22:40:00Z,Kansas City Royals @ Pittsburgh Pirates,away,Randy Dobnak,Pittsburgh Pirates,9,measured,289.0,0.3223202860343214,0.30426286505530686,True,0.3182395528599445,0.31854579455981163,0.0003062416998671491,0.0193157350999546,0.3136768055926129,0.31854579455981163,0.3145759126735102,0.31750913958687255,0.002933226913362341,0.3122882593489974,0.3162292715312648,0.0016533588577545832,0.282,0.2484759628154051,0.24287262583984384,0.2885060482697225,0.04563342242987864,0.388,0.3917189907038513,0.39453708554748895,0.38522859817394833,-0.00930848737354062,40.1,39.27049136786189,39.01378629373528,40.36385220329486,1.3500659095595822,90.2,88.76589641434263,88.83925622689743,90.1266401874452,1.2873839605477713,9.0,9.474023904382468,14.025605416796214,4.448418487586256,-9.577186929209958,16.3,22.600504648074367,22.082135722222546,16.68263570144085,-5.399500020781694,8.0,8.908313413014609,8.911696498995354,7.996963015083715,-0.9147334839116397,0.3156694350778216,5.38848885672302,5.492424242424242,0.5893303528183174,0.41066964718168264,0.31934581073592994,0.004769898062419731,10.0,1309.0,4.168269230769231,4.333787253957277,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-18T17:39:43.791823+00:00,2026-09-18T22:40:00Z,projected,projected,0,0,0,0,lean,FOLLOW,PIT,2026-09-18T17:39:43.791823+00:00,saved_pregame,158.0,-193.0,0.6295547070574253,0.6295547070574253,-193.0
823331,2026-09-18,2026-09-18T22:40:00Z,Kansas City Royals @ Pittsburgh Pirates,home,Paul Skenes,Kansas City Royals,9,measured,665.0,0.28451972714686413,0.29782124772093377,True,0.32130650588151616,0.32086055634632354,-0.0004459495351926135,0.022492211896727753,0.28808554006380954,0.32086055634632354,0.3145759126735102,0.2940084542429361,-0.020567458430574115,0.2901671712380822,0.2959641734983037,-0.018611739175206532,0.217,0.2517272244355909,0.24287262583984384,0.22491133989939305,-0.017961285940450794,0.344,0.41098220451527223,0.39453708554748895,0.35833862907226377,-0.03619845647522518,37.9,42.71479415670651,39.01378629373528,41.49534952466619,2.4815632309309095,87.9,90.04385126162019,88.83925622689743,89.10459503472275,0.2653388078253158,15.9,15.32225763612218,14.025605416796214,17.196652219325966,3.1710468025297516,27.8,19.889774236387783,22.082135722222546,25.039956765374317,2.957821043151771,6.9,8.683798140770252,8.911696498995354,6.7235466533302075,-2.188149845665147,0.28514356880272784,5.3483770375492155,5.441666666666667,0.5856297943438223,0.41437020565617766,0.2912444344131285,-0.023331478260381733,8.0,1245.576923076923,4.104938271604938,4.254103718843654,False,,,starter_bullpen_sequential,xw+starter_blend_v13,xwOBA,2026-09-18T17:39:43.791823+00:00,2026-09-18T22:40:00Z,projected,projected,0,0,0,0,lean,FOLLOW,PIT,2026-09-18T17:39:43.791823+00:00,saved_pregame,158.0,-193.0,0.6295547070574253,0.6295547070574253,-193.0
