game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,model_metric,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822699,2026-08-07,Cincinnati Reds @ Washington Nationals,away,Chase Petty,R,Washington Nationals,9,4,4,1,5,2,62,False,True,0.7195110225763612,0.7067378606609954,0.7353474103585659,0.7334293826908347,0.7127326599277249,-0.007355914903920957,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
822699,2026-08-07,Cincinnati Reds @ Washington Nationals,home,Cade Cavalli,R,Cincinnati Reds,9,2,6,1,3,1,209,False,True,0.6477410358565737,0.6982943746165017,0.6600270916334662,0.6796134838070925,0.6652301829043324,-0.054858391927313455,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
822863,2026-08-07,Baltimore Orioles @ Texas Rangers,away,Shane Baz,R,Texas Rangers,9,5,4,0,5,0,233,False,True,0.7325994687915008,0.7378785566662547,0.7317139442231075,0.7346685247196296,0.7472644564391979,0.02717588160755202,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
822863,2026-08-07,Baltimore Orioles @ Texas Rangers,home,Nathan Eovaldi,R,Baltimore Orioles,9,4,4,1,5,0,238,False,True,0.6668225763612218,0.6821069801359285,0.7507447543160691,0.7491636946074414,0.704819573905309,-0.015269000926336873,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
823024,2026-08-07,Colorado Rockies @ St. Louis Cardinals,away,Ryan Feltner,R,St. Louis Cardinals,9,6,3,0,6,1,167,False,True,0.662932005312085,0.7229244488184463,0.8552039840637451,0.8350990351309786,0.8276744576859499,0.10758588285430404,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
823024,2026-08-07,Colorado Rockies @ St. Louis Cardinals,home,Kyle Leahy,R,Colorado Rockies,9,5,2,2,7,0,223,False,True,0.8072289508632139,0.795535059768971,0.804004780876494,0.7791010475417544,0.8437948488531447,0.12370627402149881,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
823103,2026-08-07,Tampa Bay Rays @ Seattle Mariners,away,Drew Rasmussen,R,Seattle Mariners,9,5,3,1,6,0,173,False,True,0.7416650730411687,0.7354192339777806,0.5758903054448872,0.6010569141571737,0.6051636782661657,-0.11492489656548022,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
823103,2026-08-07,Tampa Bay Rays @ Seattle Mariners,home,Logan Gilbert,R,Tampa Bay Rays,9,5,3,1,6,0,228,False,True,0.7847479415670652,0.7778579690482248,0.6408446215139443,0.6539910389357837,0.6994398540958557,-0.02064872073579016,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
823191,2026-08-07,Detroit Tigers @ San Francisco Giants,away,Keider Montero,R,San Francisco Giants,9,5,4,0,5,2,212,False,True,0.8079123505976097,0.7447567630473131,0.6068472775564409,0.6243146287562757,0.6410017243640455,-0.07908685046760044,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
823191,2026-08-07,Detroit Tigers @ San Francisco Giants,home,JT Brubaker,R,Detroit Tigers,9,5,4,0,5,1,102,False,True,0.8210188579017265,0.7943070485412712,0.6056339973439574,0.6540699554951026,0.7180410288351023,-0.002047545996543554,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
823266,2026-08-07,Houston Astros @ San Diego Padres,away,Ronel Blanco,R,San Diego Padres,9,4,4,1,5,0,18,True,False,0.7102467463479416,0.7046746423809083,0.7676852589641434,0.7575888358231273,0.7356327986924459,0.01554422386080001,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
823266,2026-08-07,Houston Astros @ San Diego Padres,home,Robbie Ray,L,Houston Astros,9,2,7,0,7,0,133,False,True,0.695882337317397,0.7278186432593735,0.6817346613545817,0.6815436075159259,0.6943866211109637,-0.02570195372068218,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
823349,2026-08-07,New York Mets @ Pittsburgh Pirates,away,Zac Thornton,L,Pittsburgh Pirates,9,2,4,3,7,2,48,True,False,0.712453652058433,0.7469714241342489,0.6124815405046481,0.647042228270643,0.67585299292567,-0.044235581905975874,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
823349,2026-08-07,New York Mets @ Pittsburgh Pirates,home,Carmen Mlodzinski,R,New York Mets,9,4,3,2,6,0,157,False,True,0.6659644090305445,0.6804806172171561,0.7007527224435591,0.7084656338387492,0.6606038445991147,-0.0594847302325312,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
823428,2026-08-07,Toronto Blue Jays @ Philadelphia Phillies,away,José Soriano,R,Philadelphia Phillies,9,6,3,0,6,0,228,False,True,0.7715543160690572,0.7664718020073115,0.649593625498008,0.6578709200789463,0.692342695908618,-0.027745878923027933,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,1,0
823428,2026-08-07,Toronto Blue Jays @ Philadelphia Phillies,home,Zack Wheeler,R,Toronto Blue Jays,9,5,4,0,5,1,158,False,True,0.7038710534080851,0.7126667808822112,0.5825994687915006,0.6060460157096969,0.5965331298342922,-0.12355544499735371,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,1,0
823515,2026-08-07,Atlanta Braves @ New York Yankees,away,Tyler Mahle,R,New York Yankees,9,7,2,0,7,1,193,False,True,0.7986594953519257,0.7471041414505777,0.7328626826029215,0.7500793031871709,0.7624294448048304,0.042340869973184536,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
823515,2026-08-07,Atlanta Braves @ New York Yankees,home,Max Fried,L,Atlanta Braves,9,2,6,1,7,1,70,False,True,0.608726427622842,0.7064946367771294,0.5177466135458169,0.564474817984219,0.5571113168144762,-0.16297725801716967,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
823750,2026-08-07,Minnesota Twins @ Milwaukee Brewers,away,Zebby Matthews,R,Milwaukee Brewers,9,5,3,1,6,0,154,False,True,0.782246480743692,0.7741967791676437,0.803798406374502,0.7904605103521558,0.8383109645756274,0.11822238974398147,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,1,0
823750,2026-08-07,Minnesota Twins @ Milwaukee Brewers,home,Shane Drohan,L,Minnesota Twins,9,1,6,2,8,1,113,False,True,0.7223631235154394,0.7228187540397002,0.6692252324037185,0.675721224665276,0.6771521980038014,-0.04293637682784446,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,1,0
823836,2026-08-07,Los Angeles Angels @ Miami Marlins,away,George Klassen,R,Miami Marlins,9,5,3,1,6,0,15,True,False,0.7665779548472776,0.7586769048750284,1.0435333333333332,0.7855474291721061,0.8160876653762998,0.09599909054465394,woba+plat_consol_v5,wOBA,2026-08-07T23:41:10.680645+00:00,posted,posted,9,9,0,0
