game_pk,faced_pitcher,pitcher_side,batting_side,player_id,batting_order,PA,xwoba_raw,xwoba_shrunk,slot_weight,savant_backfill,model_tag,model_metric,snapshot_utc
824469,Kyle Harrison,away,home,667472,1.0,286.0,0.311,0.31193274204654897,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Kyle Harrison,away,home,682829,2.0,546.0,0.362,0.3546625981888048,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Kyle Harrison,away,home,701398,3.0,611.0,0.35,0.34502115109700127,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Kyle Harrison,away,home,663886,4.0,402.0,0.337,0.33253792515929864,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Kyle Harrison,away,home,553993,5.0,430.0,0.286,0.2913962989244677,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Kyle Harrison,away,home,668709,6.0,471.0,0.35,0.343800417565618,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Kyle Harrison,away,home,680574,7.0,439.0,0.307,0.30841008985151747,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Kyle Harrison,away,home,682877,8.0,65.0,0.242,0.2860002329088964,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Kyle Harrison,away,home,699302,9.0,86.0,0.272,0.2949034324191824,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Brady Singer,home,away,686217,1.0,344.0,0.287,0.293216302770198,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Brady Singer,home,away,592885,2.0,436.0,0.314,0.3141120119962088,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Brady Singer,home,away,694192,3.0,485.0,0.334,0.3306838263760135,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Brady Singer,home,away,641343,4.0,512.0,0.372,0.36262097782674496,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Brady Singer,home,away,669003,5.0,457.0,0.348,0.3420036596588293,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Brady Singer,home,away,668930,6.0,597.0,0.336,0.3329297538450042,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Brady Singer,home,away,806198,7.0,201.0,0.315,0.31486723730886346,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Brady Singer,home,away,666310,8.0,90.0,0.295,0.3053159917366732,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824469,Brady Singer,home,away,666152,9.0,347.0,0.275,0.28385914637576715,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Tyler Mahle,away,home,656941,1.0,605.0,0.36,0.353560338198536,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Tyler Mahle,away,home,607208,2.0,606.0,0.294,0.29691790145887803,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Tyler Mahle,away,home,547180,3.0,603.0,0.393,0.38184784982925735,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Tyler Mahle,away,home,650333,4.0,580.0,0.306,0.3072647623970116,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Tyler Mahle,away,home,664761,5.0,547.0,0.323,0.32170175955172786,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Tyler Mahle,away,home,681082,6.0,526.0,0.328,0.3258594863098529,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Tyler Mahle,away,home,669016,7.0,517.0,0.306,0.307393903452136,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Tyler Mahle,away,home,702222,8.0,409.0,0.281,0.28760125428284466,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Tyler Mahle,away,home,596117,9.0,56.0,0.221,0.28100024634594817,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Aaron Nola,home,away,686948,1.0,523.0,0.367,0.3585891467575729,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Aaron Nola,home,away,660670,2.0,388.0,0.358,0.3491066361269834,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Aaron Nola,home,away,621566,3.0,613.0,0.356,0.35019360228607,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Aaron Nola,home,away,671739,4.0,538.0,0.344,0.33939190976483996,4.29,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Aaron Nola,home,away,643289,5.0,536.0,0.304,0.3056667270911445,4.18,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Aaron Nola,home,away,645277,6.0,602.0,0.285,0.28921657896006825,4.08,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Aaron Nola,home,away,669221,7.0,70.0,0.275,0.2982943437056936,3.97,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Aaron Nola,home,away,663586,8.0,554.0,0.297,0.2996911902598897,3.87,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
823417,Aaron Nola,home,away,573262,9.0,352.0,0.308,0.3094602620132033,3.76,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824794,Payton Tolle,away,home,677942,1.0,273.0,0.357,0.34563281080420355,4.61,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824794,Payton Tolle,away,home,624413,2.0,615.0,0.393,0.3820350187831719,4.5,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
824794,Payton Tolle,away,home,691723,3.0,375.0,0.318,0.3172842914315114,4.39,False,xw+plat_consol_v12,xwOBA,2026-09-06T16:55:11.502429+00:00
