game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,starter_rate_basis,starter_rate_bf,opp_xwOBA_neutral,opp_xwOBA_vs_sp,platoon_delta_sp,opp_xwOBA_sd,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,starter_xwOBA,mx_xwOBA_sp,edge_xwOBA_sp,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,bullpen_xwOBA,expected_sp_ip,expected_sp_ip_raw,sp_share,bp_share,mx_xwOBA_bp,edge_xwOBA_bp,bullpen_pitchers,bullpen_relief_bf,sp_bf_per_ip,bp_bf_per_ip,opener,opener_reason,opener_confidence,pitching_basis,model_tag,model_metric,snapshot_utc,scheduled_start_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822774,2026-08-16,2026-08-16T17:37:00Z,New York Yankees @ Toronto Blue Jays,away,Ryan Weathers,Toronto Blue Jays,9,measured,525.0,0.2998965882110715,0.30582089099991616,0.005924302788844649,0.011211517097344552,0.30666332601564905,0.30582089099991616,0.31535589321909635,0.29536421768818627,-0.01999167553091008,0.3175769429150554,0.30797478573148335,-0.007381107487613003,0.253,0.23314547064030688,0.2433370326179147,0.24240372884227837,-0.0009333037756363294,0.419,0.35298554145765715,0.3961282075241148,0.3733663472116024,-0.022761860312512427,41.8,30.894806727648277,39.18069292696952,32.96018586559447,-6.220507061375052,89.5,86.73995278843317,88.88835423929842,87.35159854913476,-1.536755690163659,9.4,14.942667453526113,14.001557704057793,10.341109749468318,-3.6604479545894755,25.9,20.955827677781055,22.095719707315666,24.56384965251113,2.4681299451954644,7.0,8.255709648863974,8.922179175711227,6.477113539634909,-2.4450656360763174,0.2884047997305708,5.636929565786471,5.690217391304348,0.6258890945931315,0.37411090540686853,0.2742666851093368,-0.04108920810975952,8.0,1388.7541229385308,4.111940298507463,4.119613089342445,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-16T22:50:21.130563+00:00,2026-08-16T17:37:00Z,posted,posted,9,9,0,1
822774,2026-08-16,2026-08-16T17:37:00Z,New York Yankees @ Toronto Blue Jays,home,Dylan Cease,New York Yankees,9,measured,529.0,0.32477175757275584,0.32616644548776247,0.0013946879150066316,0.019774358092364608,0.2705354498593523,0.32616644548776247,0.31535589321909635,0.2794148292220737,-0.035941063997022626,0.2671185839775988,0.2762755379972139,-0.03908035522188247,0.188,0.2496791500664011,0.2433370326179147,0.19289986282600727,-0.05043716979190743,0.282,0.43554555112881804,0.3961282075241148,0.3100608416300413,-0.08606736589407354,33.0,45.579973439575035,39.18069292696952,38.38980403714661,-0.7908888898229094,86.0,90.62552456839309,88.88835423929842,87.73717032909465,-1.1511839102037698,13.0,13.364462151394422,14.001557704057793,12.362904447336627,-1.6386532567211667,36.1,25.44316069057105,22.095719707315666,41.569051069448065,19.4733313621324,10.6,8.729694555112882,8.922179175711227,10.371318537975919,1.4491393622646918,0.2777523606026759,6.159017853720761,6.363636363636363,0.6786780461707593,0.32132195382924067,0.28604546248400503,-0.02931043073509132,8.0,1288.0583506583507,4.016949152542373,4.123024268381375,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-16T22:50:21.130563+00:00,2026-08-16T17:37:00Z,posted,posted,9,9,0,1
822940,2026-08-16,2026-08-16T16:15:00Z,Baltimore Orioles @ Tampa Bay Rays,away,Trevor Rogers,Tampa Bay Rays,9,measured,503.0,0.3195913798192681,0.32399456707026414,0.004403187250996032,0.028403758523899297,0.3038855721040943,0.32399456707026414,0.31535589321909635,0.31065643747908617,-0.004699455740010183,0.3067173952270475,0.315119431145258,-0.0002364620738383727,0.247,0.25951128818061087,0.2433370326179147,0.2634177276307093,0.020080695012794608,0.393,0.40104754316069063,0.3961282075241148,0.3978804878533085,0.0017522803291936673,39.0,37.49954847277557,39.18069292696952,37.32660862236989,-1.8540843045996311,89.0,88.39341301460824,88.88835423929842,88.50505877530983,-0.3832954639885884,18.2,10.844169986719788,14.001557704057793,15.042612282661993,1.0410545786042,20.3,18.60350597609562,22.095719707315666,17.091598568283096,-5.00412113903257,6.8,7.995325365205844,8.922179175711227,6.093602405049864,-2.828576770661363,0.29910506445752094,5.649506160641334,5.7064393939393945,0.6279952607564713,0.3720047392435287,0.30312228918613315,-0.012233604032963197,8.0,1023.0,4.209549071618037,4.204645114277753,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-16T22:50:21.130563+00:00,2026-08-16T16:15:00Z,posted,posted,9,9,0,0
822940,2026-08-16,2026-08-16T16:15:00Z,Baltimore Orioles @ Tampa Bay Rays,home,Freddy Peralta,Baltimore Orioles,9,measured,555.0,0.32024576793861487,0.3197211995455206,-0.0005245683930942824,0.024261143530993002,0.3030044386060201,0.3197211995455206,0.31535589321909635,0.3074081672885811,-0.007947725930515237,0.3108176936212361,0.3151201800294629,-0.00023571318963344634,0.242,0.23326772908366533,0.2433370326179147,0.23198602296957183,-0.011351009648342875,0.381,0.40571102257636127,0.3961282075241148,0.3902168456210825,-0.0059113619030323195,38.8,40.15758300132802,39.18069292696952,39.76739827842655,0.5867053514570273,87.9,89.58953519256309,88.88835423929842,88.60118095326467,-0.2871732860337488,16.0,14.237529880478089,14.001557704057793,16.235972176420297,2.234414472362504,21.8,24.44581673306773,22.095719707315666,24.118644327499887,2.02292462018422,9.0,10.251606905710492,8.922179175711227,10.341023233714607,1.4188440580033799,0.2926534932621614,4.980680292636492,4.843749999999999,0.5698541713501537,0.4301458286498463,0.2971913469983755,-0.018164546220720834,7.0,1111.5452488687783,4.2558139534883725,3.980803414023958,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-16T22:50:21.130563+00:00,2026-08-16T16:15:00Z,posted,posted,9,9,0,0
823182,2026-08-16,2026-08-16T20:05:00Z,Colorado Rockies @ San Francisco Giants,away,Gabriel Hughes,San Francisco Giants,9,measured,143.0,0.31026783360001603,0.3118173687925791,0.0015495351925630674,0.017760513483150615,0.30346181673348005,0.3118173687925791,0.31535589321909635,0.29936140669010347,-0.01599448652899288,0.28925345399962815,0.2860078180865518,-0.02934807513254456,0.215,0.23047624703087885,0.2433370326179147,0.20363687589404286,-0.03970015672387184,0.307,0.35579186460807594,0.3961282075241148,0.27573926915575664,-0.12038893836835818,29.6,35.35341448931116,39.18069292696952,26.708590142449797,-12.472102784519723,88.2,87.2664786223278,88.88835423929842,86.57812438302938,-2.3102298562690464,15.3,14.992933491686461,14.001557704057793,16.291375787628667,2.2898180835708732,21.7,22.347565320665083,22.095719707315666,21.94733522519626,-0.14838448211940758,8.4,7.969833729216152,8.922179175711227,7.503391492928527,-1.4187876827826997,0.3215364519818248,5.1018177989161835,5.0,0.5598809397538748,0.44011906024612524,0.3163486731181063,0.0009927798990099768,7.0,969.3188878533706,4.353982300884956,4.479442475316626,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-16T22:50:21.130563+00:00,2026-08-16T20:05:00Z,posted,posted,9,9,0,1
823182,2026-08-16,2026-08-16T20:05:00Z,Colorado Rockies @ San Francisco Giants,home,Blade Tidwell,Colorado Rockies,9,measured,91.0,0.3104705560083362,0.3120126542819085,0.0015420982735723232,0.01749669228656606,0.3032290567403284,0.3120126542819085,0.31535589321909635,0.2993735633578192,-0.015982329861277178,0.296605179695862,0.2934607260577564,-0.021895167161339935,0.24,0.2556945551128818,0.2433370326179147,0.25218805607549666,0.008851023457581958,0.333,0.47929933598937585,0.3961282075241148,0.40291672204319334,0.006788514519078526,43.9,38.992749003984066,39.18069292696952,43.68941826693978,4.508725339970262,88.7,88.45673306772909,88.88835423929842,88.26837882843066,-0.6199754108677666,22.7,18.957025232403723,14.001557704057793,27.65546752834593,13.653909824288137,20.9,23.207994687915008,22.095719707315666,21.952083724922954,-0.1436359823927127,5.5,8.238167330677292,8.922179175711227,5.078346828325519,-3.8438323473857077,0.3123956251798117,5.360244478979524,5.333333333333333,0.5805136054458181,0.4194863945541819,0.30755614697443906,-0.007799746244657291,8.0,795.948717948718,4.074074074074074,4.335575791428288,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-16T22:50:21.130563+00:00,2026-08-16T20:05:00Z,posted,posted,9,9,0,1
823344,2026-08-16,2026-08-16T17:35:00Z,Boston Red Sox @ Pittsburgh Pirates,away,Patrick Sandoval,Pittsburgh Pirates,9,measured,136.0,0.31230964911379294,0.32040287620542646,0.008093227091633515,0.025688019232298902,0.30684811019357133,0.32040287620542646,0.31535589321909635,0.30890417901283945,-0.006451714206256898,0.323218598821651,0.32839141722839305,0.013035524009296695,0.277,0.22786374501992038,0.2433370326179147,0.2593861554547087,0.016049122836794022,0.399,0.3835237715803453,0.3961282075241148,0.38630418625576446,-0.009824021268350358,30.1,40.53490039840637,39.18069292696952,31.14035028084436,-8.040342646125161,86.3,89.13660026560426,88.88835423929842,86.54824602630583,-2.3401082129925896,15.7,13.057662682602922,14.001557704057793,14.756104978545126,0.7545472744873329,21.3,25.881752988047808,22.095719707315666,24.94968916821002,2.853969460894355,9.6,9.501992031872511,8.922179175711227,10.223861425502545,1.3016822497913179,0.28175348252719684,5.16642446893202,5.083333333333334,0.6051985357564482,0.3948014642435518,0.27903182771194696,-0.036324065507149395,6.0,769.8162162162162,4.705882352941177,4.137214250414994,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-16T22:50:21.130563+00:00,2026-08-16T17:35:00Z,posted,posted,9,9,0,0
823344,2026-08-16,2026-08-16T17:35:00Z,Boston Red Sox @ Pittsburgh Pirates,home,Lake Bachar,Boston Red Sox,9,measured,270.0,0.3102849279274929,0.30874495448791783,-0.0015399734395750708,0.020159917185114257,0.30105008416631296,0.30874495448791783,0.31535589321909635,0.29575853998987145,-0.0195973532292249,0.3019610522213774,0.2956309151972667,-0.019724978021829653,0.209,0.24616653386454182,0.2433370326179147,0.21143023330309785,-0.03190679931481685,0.381,0.37470146082337313,0.3961282075241148,0.3603915446112592,-0.0357366629128556,36.2,33.955617529880485,39.18069292696952,31.37242510929597,-7.808267817673549,89.3,87.2062416998672,88.88835423929842,87.61788746056877,-1.2704667787296557,17.3,13.948472775564408,14.001557704057793,17.246915071506614,3.24535736744882,25.2,18.994794156706508,22.095719707315666,21.663418032521548,-0.4323016747941182,8.5,8.725790172642762,8.922179175711227,8.312903720805531,-0.6092754549056956,0.30064918464145585,2.9697976883936206,2.25,0.3055945058731234,0.6944054941268766,0.29581470520711567,-0.01954118801198068,7.0,713.9,3.9,4.364426613403118,True,repeated_short_starts,high,opener_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-16T22:50:21.130563+00:00,2026-08-16T17:35:00Z,posted,posted,9,9,0,0
823590,2026-08-16,2026-08-16T17:40:00Z,Washington Nationals @ New York Mets,away,Jake Irvin,New York Mets,9,measured,286.0,0.31513214912818166,0.3154474213725375,0.00031527224435584644,0.02189701299514368,0.32629253278801684,0.3154474213725375,0.31535589321909635,0.32624416609020346,0.010888272871107108,0.3425067080878488,0.3426061164299999,0.027250223210903535,0.246,0.24567782204515273,0.2433370326179147,0.2483664059387324,0.005029373320817709,0.466,0.39353147410358563,0.3961282075241148,0.46294523704451684,0.06681702952040203,43.2,41.53697211155379,39.18069292696952,45.79799541993229,6.6173024929627715,88.7,89.29827357237714,88.88835423929842,89.10991933307872,0.2215650937802991,16.5,11.90124833997344,14.001557704057793,14.399690635915649,0.39813293185785525,23.1,22.07779548472776,22.095719707315666,23.081261097295528,0.9855413899798613,9.8,8.158167330677292,8.922179175711227,8.96081980266489,0.038640626953663215,0.30764968066647913,4.7787844488370075,4.583333333333333,0.5348376927318933,0.4651623072681067,0.30743140411100317,-0.00792448910809318,9.0,775.1,4.38785046728972,4.320303337695081,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-16T22:50:21.130563+00:00,2026-08-16T17:40:00Z,posted,posted,9,9,0,0
823590,2026-08-16,2026-08-16T17:40:00Z,Washington Nationals @ New York Mets,home,Christian Scott,Washington Nationals,9,measured,340.0,0.3212651908296524,0.32210210982035625,0.0008369189907038721,0.017703824527512856,0.3029432308433112,0.32210210982035625,0.31535589321909635,0.30907313351032994,-0.0062827597087664055,0.3042627030043401,0.31077160974205564,-0.004584283477040707,0.225,0.2531649402390438,0.2433370326179147,0.23408731067755797,-0.009249721940356725,0.351,0.44198698539176623,0.3961282075241148,0.3916343974647798,-0.004493810059335024,35.1,42.116972111553785,39.18069292696952,37.73046392699108,-1.4502289999784423,87.7,89.16409030544487,88.88835423929842,87.97573606614645,-0.9126181731519694,16.3,13.750916334661355,14.001557704057793,16.049358630603564,2.0478009265457704,28.8,21.817662682602922,22.095719707315666,28.437574950361288,6.341855243045622,9.7,7.353598937583001,8.922179175711227,7.994673530961576,-0.927505644749651,0.3012553400574066,4.923199358284168,4.769607843137255,0.5612527705130133,0.43874722948698675,0.30690041439864196,-0.008455478820454387,7.0,224.0,4.334645669291338,4.09201709364117,False,,,starter_bullpen_sequential,xw+plat_consol_v12,xwOBA,2026-08-16T22:50:21.130563+00:00,2026-08-16T17:40:00Z,posted,posted,9,9,0,0
