game_pk,game_date,matchup,side,pitcher,throws,opp_team,n_opp,n_LHB,n_RHB,n_SW,n_platoon_adv,n_low_sample,pit_min_split_bf,pit_low_sample,reliable,opp_OPS_raw,opp_OPS_vs_hand,pit_OPS_raw,pit_OPS_allowed,mx_OPS,edge_OPS,model_tag,model_metric,snapshot_utc,lineup_status_away,lineup_status_home,lineup_posted_away,lineup_posted_home,lineup_savant_backfill_away,lineup_savant_backfill_home
822691,2026-08-28,Miami Marlins @ Washington Nationals,away,Eury Pérez,R,Washington Nationals,9,4,3,2,6,0,228,False,True,0.6816974767596282,0.6939979049911684,0.6107686586985391,0.6307087505254217,0.5980491729410986,-0.12102308042544563,xw+plat_consol_v12,xwOBA,2026-08-28T18:03:52.301369+00:00,projected,projected,0,0,0,0
822691,2026-08-28,Miami Marlins @ Washington Nationals,home,Jackson Kent,L,Miami Marlins,9,5,3,1,4,0,15,True,False,0.6823099601593626,0.7120297014062679,0.8396764940239044,0.7458996975614375,0.7610531518025393,0.04198089843599506,xw+plat_consol_v12,xwOBA,2026-08-28T18:03:52.301369+00:00,projected,projected,0,0,0,0
822769,2026-08-28,Seattle Mariners @ Toronto Blue Jays,home,Dylan Cease,R,Seattle Mariners,9,4,4,1,5,0,248,False,True,0.7144305444887119,0.7159992357810212,0.5298095617529881,0.5503557986616092,0.5454962400104193,-0.17357601335612494,xw+plat_consol_v12,xwOBA,2026-08-28T18:03:52.301369+00:00,projected,projected,0,0,0,0
822935,2026-08-28,San Diego Padres @ Tampa Bay Rays,away,Casey Mize,R,Tampa Bay Rays,9,5,3,1,6,0,182,False,True,0.7663907038512616,0.7612259904253695,0.6337338645418327,0.7009807027076346,0.7372375320465792,0.018165278680034924,xw+plat_consol_v12,xwOBA,2026-08-28T18:03:52.301369+00:00,projected,projected,0,0,0,0
822935,2026-08-28,San Diego Padres @ Tampa Bay Rays,home,Shane McClanahan,L,San Diego Padres,9,3,5,1,6,0,100,False,True,0.6811096945551129,0.6915641984352469,0.5785346613545816,0.6102955391652668,0.5949632716155789,-0.1241089817509653,xw+plat_consol_v12,xwOBA,2026-08-28T18:03:52.301369+00:00,projected,projected,0,0,0,0
823013,2026-08-28,Pittsburgh Pirates @ St. Louis Cardinals,away,Jared Jones,R,St. Louis Cardinals,9,4,5,0,4,0,112,False,True,0.7073086321381141,0.7146310702968016,0.7134701195219124,0.7200473175535539,0.7165630312818748,-0.0025092220846694158,xw+plat_consol_v12,xwOBA,2026-08-28T18:03:52.301369+00:00,projected,projected,0,0,0,0
823013,2026-08-28,Pittsburgh Pirates @ St. Louis Cardinals,home,Quinn Mathews,L,Pittsburgh Pirates,9,3,4,2,6,0,12,True,False,0.6964895086321381,0.7118553515215639,0.7646613545816733,0.7414115632473685,0.743672547782236,0.02460029441569178,xw+plat_consol_v12,xwOBA,2026-08-28T18:03:52.301369+00:00,projected,projected,0,0,0,0
823178,2026-08-28,Arizona Diamondbacks @ San Francisco Giants,away,Kohl Drake,L,San Francisco Giants,9,6,3,0,3,2,25,True,False,0.4869357237715804,0.6323403268321542,0.9940642762284198,0.7762160715433982,0.7111252589259249,-0.007946994440619304,xw+plat_consol_v12,xwOBA,2026-08-28T18:03:52.301369+00:00,projected,projected,0,0,0,0
823178,2026-08-28,Arizona Diamondbacks @ San Francisco Giants,home,Blade Tidwell,R,Arizona Diamondbacks,9,2,5,2,4,0,58,False,True,0.7225179282868526,0.7255989870930812,0.5730810092961488,0.6531993555317145,0.6575761496156737,-0.06149610375087056,xw+plat_consol_v12,xwOBA,2026-08-28T18:03:52.301369+00:00,projected,projected,0,0,0,0
823504,2026-08-28,Boston Red Sox @ New York Yankees,away,Patrick Sandoval,L,New York Yankees,9,6,3,0,3,0,50,False,True,0.7067742363877823,0.7053403313919558,1.013290305444887,0.8070295429448759,0.8242563605142295,0.10518410714768522,xw+plat_consol_v12,xwOBA,2026-08-28T18:03:52.301369+00:00,projected,projected,0,0,0,0
