game_pk,game_date,game_datetime_utc,matchup,side,pitcher,opp_team,n_opp,pit_xwOBA,opp_xwOBA,lg_xwOBA,mx_xwOBA,edge_xwOBA,pit_xBA,opp_xBA,lg_xBA,mx_xBA,edge_xBA,pit_xSLG,opp_xSLG,lg_xSLG,mx_xSLG,edge_xSLG,pit_Hard Hit%,opp_Hard Hit%,lg_Hard Hit%,mx_Hard Hit%,edge_Hard Hit%,pit_EV,opp_EV,lg_EV,mx_EV,edge_EV,pit_LA°,opp_LA°,lg_LA°,mx_LA°,edge_LA°,pit_K%,opp_K%,lg_K%,mx_K%,edge_K%,pit_BB%,opp_BB%,lg_BB%,mx_BB%,edge_BB%,model_tag,snapshot_utc,scheduled_start_utc
822790,2026-07-18,2026-07-18T19:07:00Z,Chicago White Sox @ Toronto Blue Jays,away,Davis Martin,Toronto Blue Jays,9,0.323,0.302,0.318,0.307,-0.011,0.269,0.249,0.245,0.273,0.028,0.403,0.371,0.4,0.374,-0.026,44.8,34.043,39.393,38.716,-0.677,90.2,87.621,88.955,88.866,-0.089,11.4,13.401,13.92,10.881,-3.039,22.1,17.652,22.102,17.65,-4.452,7.4,7.479,8.988,6.158,-2.83,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-18T19:07:00Z
822790,2026-07-18,2026-07-18T19:07:00Z,Chicago White Sox @ Toronto Blue Jays,home,Shane Bieber,Chicago White Sox,9,0.477,0.338,0.318,0.507,0.189,0.364,0.257,0.245,0.382,0.137,0.694,0.437,0.4,0.758,0.358,55.6,41.992,39.393,59.268,19.875,93.2,89.234,88.955,93.479,4.524,13.2,14.566,13.92,13.846,-0.074,15.1,22.102,22.102,15.1,-7.002,11.6,9.069,8.988,11.705,2.717,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-18T19:07:00Z
823116,2026-07-18,2026-07-19T00:08:00Z,San Francisco Giants @ Seattle Mariners,away,Logan Webb,Seattle Mariners,9,0.309,0.328,0.318,0.319,0.001,0.261,0.25,0.245,0.266,0.021,0.386,0.411,0.4,0.397,-0.003,40.9,39.904,39.393,41.431,2.038,89.0,89.35,88.955,89.395,0.44,6.5,13.641,13.92,6.221,-7.699,19.4,22.271,22.102,19.548,-2.554,6.3,9.157,8.988,6.418,-2.57,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-19T00:08:00Z
823116,2026-07-18,2026-07-19T00:08:00Z,San Francisco Giants @ Seattle Mariners,home,Bryan Woo,San Francisco Giants,9,0.292,0.322,0.318,0.296,-0.022,0.24,0.267,0.245,0.262,0.017,0.388,0.425,0.4,0.412,0.012,43.1,37.895,39.393,41.461,2.068,89.6,88.948,88.955,89.593,0.638,17.8,15.309,13.92,19.189,5.269,24.1,18.083,22.102,19.718,-2.384,4.7,6.262,8.988,3.275,-5.713,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-19T00:08:00Z
823441,2026-07-18,2026-07-18T20:05:00Z,New York Mets @ Philadelphia Phillies,away,Sean Manaea,Philadelphia Phillies,9,0.318,0.323,0.318,0.323,0.005,0.248,0.256,0.245,0.259,0.014,0.405,0.415,0.4,0.42,0.02,39.9,41.889,39.393,42.428,3.035,88.1,89.486,88.955,88.631,-0.324,14.1,11.727,13.92,11.907,-2.013,22.5,21.682,22.102,22.072,-0.03,7.3,8.032,8.988,6.524,-2.464,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-18T20:05:00Z
823441,2026-07-18,2026-07-18T20:05:00Z,New York Mets @ Philadelphia Phillies,home,Jesús Luzardo,New York Mets,9,0.269,0.339,0.318,0.287,-0.031,0.211,0.267,0.245,0.23,-0.015,0.308,0.443,0.4,0.341,-0.059,30.5,42.214,39.393,32.684,-6.709,86.6,89.691,88.955,87.336,-1.619,7.0,12.084,13.92,5.164,-8.756,29.4,20.53,22.102,27.309,5.207,7.6,8.788,8.988,7.431,-1.557,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-18T20:05:00Z
823523,2026-07-18,2026-07-19T00:08:00Z,Los Angeles Dodgers @ New York Yankees,away,Emmet Sheehan,New York Yankees,9,0.306,0.325,0.318,0.313,-0.005,0.23,0.245,0.245,0.23,-0.015,0.399,0.418,0.4,0.417,0.017,39.4,40.594,39.393,40.601,1.208,89.4,89.253,88.955,89.698,0.743,20.9,15.387,13.92,22.367,8.447,26.6,22.901,22.102,27.562,5.46,7.4,10.071,8.988,8.292,-0.696,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-19T00:08:00Z
823523,2026-07-18,2026-07-19T00:08:00Z,Los Angeles Dodgers @ New York Yankees,home,Ryan Weathers,Los Angeles Dodgers,9,0.324,0.352,0.318,0.359,0.041,0.253,0.267,0.245,0.276,0.031,0.439,0.457,0.4,0.502,0.102,41.5,43.84,39.393,46.185,6.792,89.6,90.184,88.955,90.829,1.874,10.8,15.143,13.92,12.023,-1.897,26.9,20.799,22.102,25.314,3.212,6.6,10.766,8.988,7.906,-1.082,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-19T00:08:00Z
823763,2026-07-18,2026-07-18T20:10:00Z,Miami Marlins @ Milwaukee Brewers,away,Max Meyer,Milwaukee Brewers,9,0.302,0.33,0.318,0.313,-0.005,0.228,0.252,0.245,0.235,-0.01,0.374,0.42,0.4,0.393,-0.007,41.8,41.857,39.393,44.415,5.022,89.5,89.963,88.955,90.508,1.553,14.1,9.208,13.92,9.388,-4.532,26.0,20.933,22.102,24.625,2.523,8.5,10.563,8.988,9.989,1.001,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-18T20:10:00Z
823763,2026-07-18,2026-07-18T20:10:00Z,Miami Marlins @ Milwaukee Brewers,home,Shane Drohan,Miami Marlins,9,0.286,0.32,0.318,0.288,-0.03,0.231,0.256,0.245,0.241,-0.004,0.36,0.39,0.4,0.351,-0.049,37.9,37.503,39.393,36.082,-3.311,87.9,88.319,88.955,87.264,-1.691,14.1,12.339,13.92,12.519,-1.401,22.9,16.519,22.102,17.115,-4.987,6.8,8.985,8.988,6.798,-2.19,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-18T20:10:00Z
824008,2026-07-18,2026-07-19T02:07:00Z,Detroit Tigers @ Los Angeles Angels,away,Tarik Skubal,Los Angeles Angels,9,0.278,0.32,0.318,0.28,-0.038,0.236,0.24,0.245,0.231,-0.014,0.358,0.414,0.4,0.371,-0.029,36.8,40.145,39.393,37.503,-1.89,87.7,88.763,88.955,87.508,-1.447,9.5,15.992,13.92,11.572,-2.348,30.0,24.169,22.102,32.806,10.704,3.7,8.185,8.988,3.369,-5.619,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-19T02:07:00Z
824008,2026-07-18,2026-07-19T02:07:00Z,Detroit Tigers @ Los Angeles Angels,home,Grayson Rodriguez,Detroit Tigers,9,0.394,0.331,0.318,0.41,0.092,0.31,0.251,0.245,0.318,0.073,0.531,0.426,0.4,0.566,0.166,51.0,40.383,39.393,52.282,12.889,91.4,88.78,88.955,91.225,2.27,18.0,17.625,13.92,21.705,7.785,16.4,21.937,22.102,16.278,-5.824,11.0,9.442,8.988,11.556,2.568,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-19T02:07:00Z
824088,2026-07-18,2026-07-18T20:10:00Z,San Diego Padres @ Kansas City Royals,away,Griffin Canning,Kansas City Royals,9,0.333,0.324,0.318,0.339,0.021,0.248,0.252,0.245,0.255,0.01,0.405,0.414,0.4,0.419,0.019,47.5,43.927,39.393,52.967,13.574,90.6,90.314,88.955,91.959,3.004,11.1,16.309,13.92,13.489,-0.431,22.3,21.003,22.102,21.191,-0.911,12.1,8.742,8.988,11.769,2.781,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-18T20:10:00Z
824088,2026-07-18,2026-07-18T20:10:00Z,San Diego Padres @ Kansas City Royals,home,Randy Dobnak,San Diego Padres,9,0.34,0.314,0.318,0.336,0.018,0.296,0.246,0.245,0.297,0.052,0.395,0.391,0.4,0.386,-0.014,33.3,41.932,39.393,35.446,-3.947,90.1,89.28,88.955,90.425,1.47,2.5,9.256,13.92,-2.164,-16.084,9.8,20.354,22.102,9.025,-13.077,9.8,8.838,8.988,9.636,0.648,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-18T20:10:00Z
824169,2026-07-18,2026-07-18T20:10:00Z,Baltimore Orioles @ Houston Astros,away,Trevor Rogers,Houston Astros,9,0.32,0.332,0.318,0.334,0.016,0.255,0.255,0.245,0.265,0.02,0.411,0.432,0.4,0.444,0.044,39.5,38.504,39.393,38.609,-0.784,89.1,88.855,88.955,89.0,0.045,18.8,14.836,13.92,19.716,5.796,18.1,19.628,22.102,16.074,-6.028,8.1,9.049,8.988,8.155,-0.833,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-18T20:10:00Z
824169,2026-07-18,2026-07-18T20:10:00Z,Baltimore Orioles @ Houston Astros,home,Spencer Arrighetti,Baltimore Orioles,9,0.349,0.328,0.318,0.36,0.042,0.246,0.247,0.245,0.248,0.003,0.41,0.419,0.4,0.429,0.029,31.4,43.008,39.393,34.282,-5.111,87.8,90.132,88.955,88.977,0.022,17.2,13.552,13.92,16.832,2.912,22.8,23.338,22.102,24.075,1.973,12.4,9.929,8.988,13.698,4.71,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-18T20:10:00Z
824331,2026-07-18,2026-07-18T19:10:00Z,Cincinnati Reds @ Colorado Rockies,away,Rhett Lowder,Colorado Rockies,9,0.357,0.318,0.318,0.357,0.039,0.27,0.251,0.245,0.277,0.032,0.456,0.392,0.4,0.447,0.047,38.8,36.918,39.393,36.362,-3.031,90.6,87.935,88.955,89.58,0.625,14.7,14.332,13.92,15.112,1.192,18.6,21.058,22.102,17.721,-4.381,11.0,8.571,8.988,10.49,1.502,xw+plat_consol_v3,2026-07-18T09:49:35.173495+00:00,2026-07-18T19:10:00Z
